,base,ftune,ftunernd
765,5.0,8.874225,4.891037
766,5.0,5.8723426,5.0297837
767,5.0,4.691428,4.885243
768,5.0,8.049671,4.891037
769,5.0,5.729553,4.8063226
770,5.0,6.041847,4.8456216
771,5.0,7.1793003,4.8909073
772,5.0,7.609944,4.891037
773,5.0,8.623191,5.167287
774,5.0,8.049671,4.891037
775,5.0,5.6601634,4.6257734
776,5.0,8.874225,4.891037
777,5.0,7.609944,4.891037
778,5.0,7.8052607,4.891037
779,5.0,8.048529,4.891029
780,5.0,6.7041974,4.980851
781,5.0,6.6978145,4.880262
782,5.0,7.1862335,4.891036
783,5.0,8.377285,4.891037
784,5.0,8.874225,4.891037
785,5.0,3.340032,4.40625
786,5.0,4.6230097,4.7348833
787,5.0,2.5391793,4.1997952
788,5.0,7.447336,4.891037
789,5.0,8.377285,4.868517
790,5.0,6.8213997,5.1921835
791,5.0,8.377285,4.891037
792,5.0,7.077943,4.891037
793,5.0,8.874225,4.891037
794,5.0,6.1958656,4.891037
795,5.0,8.874225,4.891037
796,5.0,4.1774454,4.8816333
797,5.0,7.449728,5.198729
798,5.0,3.4367774,4.636483
799,5.0,7.609944,4.891037
800,5.0,7.8052607,4.891037
801,5.0,8.874225,4.891037
802,5.0,8.874225,4.891037
803,5.0,5.9554396,4.9099936
804,5.0,7.1862335,4.891037
805,5.0,7.049173,4.8688874
806,5.0,8.874225,4.891037
807,5.0,7.8052607,4.891037
808,5.0,8.049671,4.891037
809,5.0,5.714566,4.891037
810,5.0,6.735826,4.891037
811,5.0,8.874225,4.891037
812,5.0,8.874225,4.891037
813,5.0,8.424575,4.8735523
814,5.0,8.874225,4.891037
815,5.0,8.049671,4.891037
816,5.0,7.077943,4.891037
817,5.0,5.1218853,4.7022834
818,5.0,3.3203235,4.4486814
819,5.0,7.1862335,4.891037
820,5.0,3.8687687,4.7766585
821,5.0,6.8963537,4.855854
822,5.0,6.724359,4.954923
823,5.0,6.377675,4.891037
824,5.0,8.049671,4.891037
825,5.0,4.289041,5.072861
826,5.0,8.874225,4.891037
827,5.0,5.0020275,5.1754775
828,5.0,6.8107624,4.891037
829,5.0,6.350112,4.891003
